<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.04	00:00:00	22927.00	22944.50	22916.75	22937.25	11046	12015	0
2025.08.04	00:30:00	22937.50	22963.25	22920.25	22956.50	13044	14350	25
2025.08.04	01:00:00	22956.25	22965.25	22932.25	22950.75	13596	15155	0
2025.08.04	01:30:00	22950.50	22973.00	22949.00	22959.00	9191	11191	0
2025.08.04	02:00:00	22958.75	22971.50	22949.75	22962.75	6853	8077	25
2025.08.04	02:30:00	22963.00	22982.25	22959.50	22978.75	5773	7252	25
2025.08.04	03:00:00	22979.00	22982.25	22964.00	22974.50	6124	7474	25
2025.08.04	03:30:00	22974.50	22989.00	22970.25	22987.25	4652	5449	0
2025.08.04	04:00:00	22987.75	22988.00	22952.75	22967.75	8160	9126	25
2025.08.04	04:30:00	22967.25	22981.25	22962.00	22969.25	5092	5584	25
2025.08.04	05:00:00	22969.75	22983.25	22961.00	22980.25	4781	5312	25
2025.08.04	05:30:00	22980.00	22995.75	22977.50	22982.75	7826	8808	25
2025.08.04	06:00:00	22982.50	23001.25	22965.75	22984.25	10679	11780	25
2025.08.04	06:30:00	22983.75	22996.50	22947.50	22990.50	11305	12821	25
2025.08.04	07:00:00	22991.25	23020.00	22978.00	23015.25	14799	17182	0
2025.08.04	07:30:00	23015.50	23045.50	23005.25	23011.25	15288	17636	25
2025.08.04	08:00:00	23011.25	23052.75	23006.00	23035.75	12302	14086	25
2025.08.04	08:30:00	23035.75	23064.75	23030.00	23060.75	8309	9429	0
2025.08.04	09:00:00	23060.75	23072.75	23054.00	23057.00	8405	9789	25
2025.08.04	09:30:00	23057.00	23077.75	23053.25	23055.00	7330	8479	25
2025.08.04	10:00:00	23055.50	23070.75	23051.75	23068.75	6243	6954	0
2025.08.04	10:30:00	23068.75	23079.00	23056.25	23061.75	8211	9555	25
2025.08.04	11:00:00	23062.75	23062.75	23031.50	23058.25	13868	15904	0
2025.08.04	11:30:00	23058.00	23077.00	23039.50	23047.25	10438	11619	0
2025.08.04	12:00:00	23047.50	23077.50	23036.50	23072.50	12154	14294	25
2025.08.04	12:30:00	23072.75	23092.00	23060.25	23076.00	14124	16106	25
2025.08.04	13:00:00	23076.25	23097.25	23070.00	23095.25	17971	21101	25
2025.08.04	13:30:00	23095.25	23258.00	23088.75	23246.50	147764	169216	0
2025.08.04	14:00:00	23246.50	23263.75	23213.50	23250.25	76774	86998	0
2025.08.04	14:30:00	23250.25	23254.75	23194.00	23215.25	82046	93480	0
2025.08.04	15:00:00	23214.75	23224.00	23187.50	23211.00	58116	66424	0
2025.08.04	15:30:00	23210.75	23263.50	23198.25	23254.25	51605	60026	0
2025.08.04	16:00:00	23254.25	23276.75	23246.75	23264.00	36012	42218	0
2025.08.04	16:30:00	23263.50	23279.75	23253.00	23269.25	27104	31270	0
2025.08.04	17:00:00	23269.50	23285.00	23265.50	23280.50	22351	26273	0
2025.08.04	17:30:00	23280.75	23286.50	23240.75	23268.00	33745	39685	25
2025.08.04	18:00:00	23268.25	23284.00	23257.50	23265.25	28552	33065	0
2025.08.04	18:30:00	23265.25	23277.50	23255.50	23261.25	21662	25079	25
2025.08.04	19:00:00	23261.00	23299.00	23253.75	23266.25	36799	43433	0
2025.08.04	19:30:00	23266.75	23308.00	23252.50	23296.75	54249	65950	0
2025.08.04	20:00:00	23297.00	23339.75	23284.50	23336.00	39603	46396	0
2025.08.04	20:30:00	23336.25	23353.75	23332.50	23351.50	11213	12881	0
2025.08.04	22:00:00	23352.50	23363.25	23324.50	23326.75	8771	10283	25
2025.08.04	22:30:00	23327.00	23331.00	23316.50	23326.50	6321	7155	0
2025.08.04	23:00:00	23327.00	23349.50	23322.75	23326.00	7613	8625	25
2025.08.04	23:30:00	23326.50	23336.00	23314.00	23334.00	7769	8693	25
2025.08.05	00:00:00	23334.00	23334.75	23314.25	23323.00	6801	7677	25
2025.08.05	00:30:00	23323.00	23374.75	23322.00	23347.25	14930	17038	25
2025.08.05	01:00:00	23347.00	23372.50	23337.25	23346.75	12091	13379	0
2025.08.05	01:30:00	23346.00	23354.75	23335.00	23340.50	6476	7301	25
2025.08.05	02:00:00	23340.75	23346.00	23332.50	23336.00	4012	4508	25
2025.08.05	02:30:00	23336.50	23348.00	23333.25	23340.75	3738	4151	25
2025.08.05	03:00:00	23340.75	23343.25	23324.25	23334.50	4514	5268	25
2025.08.05	03:30:00	23335.00	23361.25	23335.00	23342.75	6220	7509	25
2025.08.05	04:00:00	23342.25	23346.00	23336.25	23343.75	2937	3349	25
2025.08.05	04:30:00	23344.25	23359.50	23343.25	23359.25	2531	2938	0
2025.08.05	05:00:00	23359.50	23365.75	23351.50	23365.00	3755	4278	25
2025.08.05	05:30:00	23365.25	23368.00	23360.75	23363.25	2511	2814	25
2025.08.05	06:00:00	23363.25	23378.75	23356.00	23368.25	6171	7004	0
2025.08.05	06:30:00	23368.00	23393.50	23365.25	23385.75	7718	8968	0
