<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.05	07:00:00	23385.50	23397.25	23354.50	23356.50	11645	13241	0
2025.08.05	07:30:00	23356.50	23363.75	23322.50	23330.50	14276	16259	25
2025.08.05	08:00:00	23330.00	23343.25	23312.25	23336.50	14079	15784	25
2025.08.05	08:30:00	23337.50	23338.75	23325.25	23331.25	5138	5816	25
2025.08.05	09:00:00	23331.75	23341.50	23326.25	23332.75	5248	5823	25
2025.08.05	09:30:00	23332.50	23350.50	23330.25	23348.50	6054	7100	0
2025.08.05	10:00:00	23348.00	23382.75	23345.00	23376.00	10106	11491	25
2025.08.05	10:30:00	23375.75	23392.75	23364.00	23385.25	9083	10280	25
2025.08.05	11:00:00	23385.25	23394.00	23371.75	23373.50	7931	8942	25
2025.08.05	11:30:00	23372.75	23396.00	23362.25	23383.25	12752	14092	25
2025.08.05	12:00:00	23383.75	23404.25	23343.00	23370.25	25540	28812	0
2025.08.05	12:30:00	23370.00	23381.50	23352.25	23361.25	16325	17739	25
2025.08.05	13:00:00	23361.25	23372.00	23337.25	23349.75	22516	25050	0
2025.08.05	13:30:00	23350.00	23397.25	23303.50	23378.00	133197	147646	0
2025.08.05	14:00:00	23345.00	23362.25	23262.00	23289.50	148141	166358	0
2025.08.05	14:30:00	23289.25	23291.50	23138.75	23181.75	148929	170701	0
2025.08.05	15:00:00	23181.25	23220.00	23151.50	23170.00	103119	117144	0
2025.08.05	15:30:00	23170.00	23185.00	23113.50	23156.25	89297	101834	0
2025.08.05	16:00:00	23156.00	23211.00	23153.75	23197.25	53398	62031	0
2025.08.05	16:30:00	23196.75	23225.75	23136.75	23179.25	65658	75236	0
2025.08.05	17:00:00	23179.75	23215.25	23166.25	23210.00	35211	40751	0
2025.08.05	17:30:00	23209.75	23252.00	23200.75	23241.00	32483	38010	25
2025.08.05	18:00:00	23241.00	23248.75	23175.75	23178.75	50495	57500	0
2025.08.05	18:30:00	23178.75	23195.00	23115.25	23146.75	68289	77299	0
2025.08.05	19:00:00	23146.75	23174.25	23137.25	23172.00	43560	49047	0
2025.08.05	19:30:00	23172.00	23177.25	23121.25	23136.50	54503	63323	0
2025.08.05	20:00:00	23137.25	23167.00	23094.25	23112.50	28558	32597	0
2025.08.05	20:30:00	23112.00	23112.75	23082.00	23091.25	12635	13970	25
2025.08.05	22:00:00	23092.00	23113.25	23045.25	23070.50	17171	19390	25
2025.08.05	22:30:00	23070.00	23088.00	23065.25	23085.75	6785	7375	25
2025.08.05	23:00:00	23085.25	23097.75	23075.25	23080.75	6516	7281	25
2025.08.05	23:30:00	23080.75	23092.50	23052.75	23052.75	11007	12054	25
2025.08.06	00:00:00	23052.75	23089.25	23049.00	23083.75	11236	12127	25
2025.08.06	00:30:00	23084.00	23095.00	23066.50	23071.75	8345	9076	25
2025.08.06	01:00:00	23072.50	23084.00	23064.50	23076.75	5773	6174	25
2025.08.06	01:30:00	23075.75	23140.50	23074.00	23136.75	14671	16801	0
2025.08.06	02:00:00	23136.25	23153.50	23123.00	23153.00	8505	9474	25
2025.08.06	02:30:00	23153.00	23168.50	23146.50	23155.25	9871	11551	25
2025.08.06	03:00:00	23155.75	23165.75	23144.25	23157.00	6388	7298	25
2025.08.06	03:30:00	23157.50	23170.75	23154.00	23166.00	4229	4841	25
2025.08.06	04:00:00	23166.25	23173.50	23160.25	23166.50	4069	4583	25
2025.08.06	04:30:00	23166.75	23171.25	23155.75	23162.25	3630	4083	25
2025.08.06	05:00:00	23162.00	23172.00	23154.75	23170.75	3995	4582	0
2025.08.06	05:30:00	23170.75	23202.50	23169.75	23184.75	9134	10403	25
2025.08.06	06:00:00	23185.00	23202.00	23180.50	23197.00	7079	7997	0
2025.08.06	06:30:00	23197.75	23206.75	23187.25	23192.25	5369	6046	0
2025.08.06	07:00:00	23192.00	23221.25	23190.50	23207.25	12486	13876	25
2025.08.06	07:30:00	23207.50	23224.50	23203.25	23220.00	5831	6551	25
2025.08.06	08:00:00	23220.75	23227.25	23187.75	23189.50	11002	12409	0
2025.08.06	08:30:00	23189.25	23192.00	23156.00	23166.00	11080	12715	25
2025.08.06	09:00:00	23166.25	23180.00	23147.00	23151.50	9506	10563	25
2025.08.06	09:30:00	23151.75	23154.00	23132.00	23146.25	8280	9384	25
2025.08.06	10:00:00	23147.00	23157.00	23120.00	23147.75	15065	17131	25
2025.08.06	10:30:00	23148.75	23151.75	23107.50	23144.50	14390	16180	25
2025.08.06	11:00:00	23144.25	23178.00	23137.75	23178.00	16677	18659	25
2025.08.06	11:30:00	23177.25	23197.00	23173.25	23176.75	11507	12949	0
2025.08.06	12:00:00	23175.75	23187.00	23140.25	23150.50	20198	22421	0
2025.08.06	12:30:00	23150.25	23184.00	23145.75	23177.75	13754	15112	0
2025.08.06	13:00:00	23177.75	23194.00	23164.25	23171.00	15426	17121	0
2025.08.06	13:30:00	23171.25	23245.00	23148.75	23201.25	189332	209595	0
2025.08.06	14:00:00	23201.25	23285.00	23164.25	23201.00	138977	155601	0
2025.08.06	14:30:00	23200.75	23289.75	23179.50	23283.75	103293	117626	0
2025.08.06	15:00:00	23283.50	23331.25	23258.25	23323.25	72562	84441	0
2025.08.06	15:30:00	23323.50	23375.50	23298.25	23367.75	72694	85423	0
2025.08.06	16:00:00	23368.00	23386.00	23357.00	23368.25	41281	48008	0
2025.08.06	16:30:00	23368.00	23389.50	23346.00	23370.75	43006	49478	0
2025.08.06	17:00:00	23371.00	23386.00	23358.00	23377.75	26796	31610	0
2025.08.06	17:30:00	23377.50	23396.50	23363.50	23373.25	27718	32201	0
2025.08.06	18:00:00	23373.00	23423.00	23370.50	23420.25	36784	43311	0
2025.08.06	18:30:00	23420.25	23436.00	23410.00	23414.50	30495	36114	0
2025.08.06	19:00:00	23414.25	23439.75	23412.25	23429.50	25049	29018	25
2025.08.06	19:30:00	23429.75	23444.75	23406.75	23424.00	45179	54048	0
2025.08.06	20:00:00	23424.00	23425.75	23398.00	23412.00	20711	24121	25
2025.08.06	20:30:00	23411.75	23414.50	23400.25	23413.00	6907	8036	25
2025.08.06	22:00:00	23429.75	23469.75	23385.25	23464.75	19486	22574	25
2025.08.06	22:30:00	23464.50	23480.00	23451.50	23461.25	12297	13811	25
2025.08.06	23:00:00	23460.75	23476.75	23455.25	23461.75	7975	8924	25
2025.08.06	23:30:00	23461.75	23471.00	23443.00	23452.25	7176	7785	25
2025.08.07	00:00:00	23451.75	23491.50	23443.75	23486.25	11204	12287	25
2025.08.07	00:30:00	23485.75	23502.50	23484.00	23488.00	9714	10848	0
2025.08.07	01:00:00	23488.25	23498.25	23481.25	23487.75	5666	6295	25
2025.08.07	01:30:00	23488.25	23511.00	23478.75	23495.75	8925	10272	25
2025.08.07	02:00:00	23495.75	23505.75	23489.25	23490.75	5619	6248	0
2025.08.07	02:30:00	23491.00	23498.50	23485.00	23488.75	3699	4062	0
2025.08.07	03:00:00	23488.25	23499.25	23483.50	23488.00	3723	4109	25
2025.08.07	03:30:00	23488.75	23498.50	23485.25	23489.75	3237	3536	25
2025.08.07	04:00:00	23489.25	23499.50	23480.25	23480.25	2827	3226	25
2025.08.07	04:30:00	23480.50	23486.50	23457.25	23464.75	7134	8302	25
2025.08.07	05:00:00	23464.75	23476.00	23454.50	23475.00	5957	6836	25
2025.08.07	05:30:00	23474.75	23484.75	23469.00	23482.75	5021	5700	25
2025.08.07	06:00:00	23482.75	23493.00	23472.25	23491.75	8027	8828	0
2025.08.07	06:30:00	23491.75	23497.00	23467.25	23472.25	5324	5989	25
2025.08.07	07:00:00	23472.00	23513.75	23470.00	23481.25	11297	12755	0
2025.08.07	07:30:00	23480.75	23513.50	23479.50	23509.00	7338	8178	25
2025.08.07	08:00:00	23509.50	23575.75	23507.25	23568.50	18879	21656	25
2025.08.07	08:30:00	23568.00	23574.00	23540.25	23556.00	12332	14216	25
2025.08.07	09:00:00	23556.50	23579.50	23537.25	23578.50	10805	12429	0
2025.08.07	09:30:00	23578.75	23607.00	23569.00	23602.00	13693	16295	25
2025.08.07	10:00:00	23601.50	23626.75	23597.75	23610.00	15880	18968	25
2025.08.07	10:30:00	23609.25	23623.75	23596.75	23620.00	9833	11363	25
2025.08.07	11:00:00	23619.75	23638.00	23606.00	23612.75	13546	15989	25
2025.08.07	11:30:00	23612.75	23613.25	23580.00	23584.25	14272	16292	25
2025.08.07	12:00:00	23584.50	23605.50	23576.00	23576.00	12646	14499	0
2025.08.07	12:30:00	23590.75	23614.25	23575.00	23598.25	17100	19716	0
2025.08.07	13:00:00	23597.75	23618.25	23590.25	23601.25	16401	18812	25
2025.08.07	13:30:00	23601.50	23659.00	23569.50	23656.00	163392	185883	0
2025.08.07	14:00:00	23656.00	23671.25	23543.00	23574.75	153038	171932	0
2025.08.07	14:30:00	23574.25	23593.75	23518.25	23536.75	110037	122195	0
2025.08.07	15:00:00	23537.00	23558.25	23496.75	23509.75	92207	103208	0
2025.08.07	15:30:00	23509.75	23531.50	23477.00	23496.50	68801	75912	0
2025.08.07	16:00:00	23496.50	23514.25	23460.00	23493.25	64332	70901	0
2025.08.07	16:30:00	23493.00	23507.75	23390.00	23461.00	88465	99396	0
2025.08.07	17:00:00	23461.00	23488.00	23407.00	23407.50	75289	83825	0
2025.08.07	17:30:00	23407.50	23433.50	23381.25	23417.75	68759	77587	0
2025.08.07	18:00:00	23418.25	23430.25	23330.00	23367.25	73912	82907	0
2025.08.07	18:30:00	23367.00	23421.00	23347.75	23406.25	49883	55064	0
2025.08.07	19:00:00	23406.50	23417.25	23379.50	23395.75	37253	40741	0
2025.08.07	19:30:00	23396.00	23504.00	23394.00	23500.00	64381	72592	0
2025.08.07	20:00:00	23500.25	23535.25	23498.25	23513.50	25271	28571	0
2025.08.07	20:30:00	23514.00	23524.50	23501.00	23521.50	6340	7189	25
2025.08.07	22:00:00	23515.50	23568.00	23515.50	23561.00	10878	12403	0
2025.08.07	22:30:00	23561.25	23565.75	23541.00	23554.25	7306	8090	25
2025.08.07	23:00:00	23554.75	23557.25	23543.25	23548.75	5118	5638	25
2025.08.07	23:30:00	23549.00	23551.00	23536.50	23542.00	4820	5282	25
2025.08.08	00:00:00	23541.25	23567.75	23528.50	23566.00	9439	10542	25
2025.08.08	00:30:00	23566.00	23583.25	23559.50	23571.75	8729	9768	0
2025.08.08	01:00:00	23572.25	23578.50	23554.50	23564.75	6038	6733	25
2025.08.08	01:30:00	23564.75	23572.00	23558.50	23562.50	4097	4687	25
2025.08.08	02:00:00	23562.75	23579.25	23562.25	23576.25	3954	4538	0
2025.08.08	02:30:00	23576.00	23579.75	23572.50	23575.50	1891	2153	25
2025.08.08	03:00:00	23575.00	23578.00	23564.50	23567.00	2857	3299	25
2025.08.08	03:30:00	23567.50	23567.75	23551.25	23553.25	4169	4585	25
2025.08.08	04:00:00	23553.75	23557.25	23536.25	23547.50	4751	5508	25
2025.08.08	04:30:00	23547.25	23554.50	23536.75	23543.50	3505	3969	25
2025.08.08	05:00:00	23543.50	23554.00	23526.75	23533.50	5135	5848	25
2025.08.08	05:30:00	23533.75	23545.25	23503.25	23509.50	7409	8331	25
2025.08.08	06:00:00	23509.50	23549.25	23508.00	23548.50	7967	8927	0
2025.08.08	06:30:00	23548.50	23554.75	23532.25	23537.25	5196	5964	25
2025.08.08	07:00:00	23536.75	23550.00	23524.00	23539.25	8026	8850	25
2025.08.08	07:30:00	23539.50	23550.75	23526.75	23528.25	5523	6135	25
2025.08.08	08:00:00	23528.25	23560.00	23528.25	23555.50	7590	8399	25
2025.08.08	08:30:00	23555.50	23559.50	23545.00	23553.50	4212	4774	25
2025.08.08	09:00:00	23554.00	23578.00	23551.50	23568.00	5884	6766	25
2025.08.08	09:30:00	23568.50	23573.25	23560.00	23562.50	3889	4310	25
2025.08.08	10:00:00	23563.25	23575.75	23560.75	23563.25	3237	3618	25
2025.08.08	10:30:00	23563.00	23575.00	23562.00	23567.50	3507	4021	25
2025.08.08	11:00:00	23567.25	23581.25	23561.75	23572.00	7499	8671	0
2025.08.08	11:30:00	23572.00	23581.75	23568.00	23574.75	4572	5411	25
2025.08.08	12:00:00	23574.75	23576.00	23516.00	23531.75	17672	20067	25
2025.08.08	12:30:00	23531.00	23548.00	23517.50	23533.25	14273	15806	25
2025.08.08	13:00:00	23533.25	23547.50	23521.50	23542.00	14216	15765	25
2025.08.08	13:30:00	23542.75	23649.00	23530.00	23644.75	124239	138838	0
2025.08.08	14:00:00	23644.75	23686.50	23626.25	23675.00	103308	116531	0
2025.08.08	14:30:00	23675.25	23702.75	23645.00	23653.75	72490	82610	0
2025.08.08	15:00:00	23653.50	23681.75	23643.00	23665.25	56426	64084	0
2025.08.08	15:30:00	23665.25	23681.50	23612.00	23678.75	76971	88162	0
2025.08.08	16:00:00	23678.75	23706.75	23674.50	23691.25	46785	53756	0
2025.08.08	16:30:00	23691.25	23699.75	23675.00	23677.50	30762	35925	25
2025.08.08	17:00:00	23676.75	23688.25	23655.00	23661.75	47407	54334	0
2025.08.08	17:30:00	23661.50	23703.25	23660.25	23700.25	30649	35447	0
2025.08.08	18:00:00	23700.75	23724.50	23689.50	23706.75	37960	44527	0
2025.08.08	18:30:00	23707.00	23718.50	23701.50	23710.25	21692	25506	0
2025.08.08	19:00:00	23710.25	23721.25	23703.75	23706.00	25538	30278	0
2025.08.08	19:30:00	23706.00	23719.50	23676.00	23714.25	55290	65803	0
2025.08.08	20:00:00	23714.25	23765.00	23713.00	23752.75	27764	32854	0
2025.08.08	20:30:00	23752.50	23768.50	23746.75	23767.25	7807	9320	0
2025.08.10	22:00:00	23767.25	23770.00	23725.00	23736.50	16339	18662	0
2025.08.10	22:30:00	23736.00	23740.00	23728.50	23732.00	3588	3997	25
2025.08.10	23:00:00	23732.00	23742.25	23706.75	23707.25	7965	9050	25
2025.08.10	23:30:00	23707.75	23715.75	23701.25	23707.75	6398	7094	25
2025.08.11	00:00:00	23707.00	23738.00	23706.75	23732.50	11094	12557	25
2025.08.11	00:30:00	23732.50	23737.75	23724.75	23732.50	4216	4761	25
2025.08.11	01:00:00	23732.75	23743.25	23726.75	23742.75	4918	5661	25
2025.08.11	01:30:00	23742.25	23762.50	23742.00	23757.75	8069	9276	0
2025.08.11	02:00:00	23757.25	23771.00	23756.25	23758.25	7427	8735	25
2025.08.11	02:30:00	23757.75	23761.75	23750.00	23756.25	4249	4857	25
2025.08.11	03:00:00	23756.50	23773.50	23754.75	23760.75	6064	7073	25
2025.08.11	03:30:00	23760.75	23762.25	23750.50	23754.75	3101	3536	25
2025.08.11	04:00:00	23755.00	23759.00	23740.25	23741.00	4687	5417	0
2025.08.11	04:30:00	23741.25	23744.75	23734.50	23742.00	3582	4120	25
2025.08.11	05:00:00	23742.50	23749.00	23737.25	23739.50	3621	4174	25
2025.08.11	05:30:00	23740.00	23746.00	23731.25	23738.75	4111	4777	25
2025.08.11	06:00:00	23739.00	23751.00	23728.50	23734.75	5707	6486	25
2025.08.11	06:30:00	23734.25	23760.75	23732.25	23759.75	4763	5593	25
2025.08.11	07:00:00	23760.00	23765.00	23740.50	23741.75	6334	7294	25
2025.08.11	07:30:00	23741.75	23743.25	23693.25	23706.75	11317	13011	25
2025.08.11	08:00:00	23706.25	23709.50	23667.75	23689.75	16010	18246	25
2025.08.11	08:30:00	23689.50	23705.25	23686.25	23700.75	7793	8993	25
2025.08.11	09:00:00	23700.50	23722.00	23698.00	23722.00	6548	7882	25
2025.08.11	09:30:00	23722.25	23731.75	23720.50	23723.25	5196	6440	25
2025.08.11	10:00:00	23723.00	23745.25	23718.00	23738.00	6273	7338	25
2025.08.11	10:30:00	23738.25	23740.00	23709.25	23725.75	6326	7267	25
2025.08.11	11:00:00	23725.50	23737.25	23719.50	23721.75	7218	8172	25
2025.08.11	11:30:00	23721.25	23740.50	23719.25	23735.50	5297	6075	25
2025.08.11	12:00:00	23735.25	23756.25	23728.25	23734.25	10910	12386	25
2025.08.11	12:30:00	23734.25	23735.50	23708.00	23722.25	11773	13179	25
2025.08.11	13:00:00	23721.75	23727.00	23700.75	23717.25	17566	19952	0
2025.08.11	13:30:00	23717.00	23745.00	23681.00	23744.00	108854	121394	0
2025.08.11	14:00:00	23743.50	23767.50	23710.75	23752.75	70391	79964	0
2025.08.11	14:30:00	23752.50	23761.25	23717.25	23726.75	58365	66777	0
2025.08.11	15:00:00	23727.25	23751.50	23713.75	23734.00	45246	52546	0
2025.08.11	15:30:00	23733.75	23764.00	23716.00	23764.00	44671	52722	0
2025.08.11	16:00:00	23763.75	23804.50	23757.00	23785.50	49623	59747	0
2025.08.11	16:30:00	23785.25	23789.50	23730.00	23736.50	44613	53212	0
2025.08.11	17:00:00	23737.00	23753.00	23723.50	23728.00	29263	34639	0
2025.08.11	17:30:00	23727.75	23737.00	23688.25	23701.00	42457	50543	0
2025.08.11	18:00:00	23701.00	23701.25	23675.25	23682.25	44905	53732	0
2025.08.11	18:30:00	23682.25	23699.25	23650.75	23686.00	43978	52825	0
2025.08.11	19:00:00	23686.25	23690.25	23654.25	23662.50	28882	34578	0
2025.08.11	19:30:00	23661.75	23668.50	23587.00	23638.50	69868	85148	0
2025.08.11	20:00:00	23638.50	23648.50	23616.00	23622.75	18671	21824	0
2025.08.11	20:30:00	23623.50	23630.75	23621.50	23630.00	4777	5890	0
2025.08.11	22:00:00	23630.25	23650.00	23615.00	23616.25	9000	10219	25
2025.08.11	22:30:00	23616.75	23641.75	23614.25	23640.75	6109	6664	25
2025.08.11	23:00:00	23640.75	23647.00	23625.25	23634.00	4795	5246	25
2025.08.11	23:30:00	23635.00	23646.25	23630.25	23636.75	4353	4812	25
2025.08.12	00:00:00	23636.00	23661.50	23628.75	23657.25	9729	10659	25
2025.08.12	00:30:00	23656.75	23666.25	23637.25	23638.75	7401	8047	0
2025.08.12	01:00:00	23638.75	23648.25	23632.25	23640.50	5676	6217	25
2025.08.12	01:30:00	23640.25	23659.50	23631.50	23658.25	5193	5696	25
2025.08.12	02:00:00	23658.50	23667.50	23651.75	23654.75	4224	4876	25
2025.08.12	02:30:00	23654.00	23662.75	23648.75	23651.25	2880	3210	25
2025.08.12	03:00:00	23651.25	23664.75	23650.25	23661.50	3095	3459	25
2025.08.12	03:30:00	23660.75	23664.00	23653.25	23656.75	1840	2080	25
2025.08.12	04:00:00	23657.25	23657.75	23650.25	23655.25	1529	1746	25
2025.08.12	04:30:00	23655.25	23676.75	23650.50	23671.50	3847	4424	25
2025.08.12	05:00:00	23671.75	23673.00	23602.00	23632.25	17882	19367	25
2025.08.12	05:30:00	23633.50	23633.50	23596.00	23629.25	11062	12356	25
2025.08.12	06:00:00	23630.00	23669.25	23627.75	23666.25	9091	10173	25
2025.08.12	06:30:00	23666.75	23668.75	23645.75	23648.75	6206	6722	25
2025.08.12	07:00:00	23648.25	23675.75	23644.00	23663.75	8429	9219	0
2025.08.12	07:30:00	23664.25	23670.75	23638.50	23665.25	6288	6936	25
2025.08.12	08:00:00	23665.50	23673.00	23647.75	23650.50	6257	6635	25
2025.08.12	08:30:00	23650.75	23656.75	23634.75	23641.25	4490	4961	0
2025.08.12	09:00:00	23641.00	23650.00	23635.75	23645.25	3162	3414	25
2025.08.12	09:30:00	23645.50	23652.50	23635.25	23635.50	4058	4425	25
2025.08.12	10:00:00	23635.50	23645.50	23625.75	23634.50	5602	6203	25
2025.08.12	10:30:00	23634.25	23642.25	23630.00	23635.25	3620	3938	25
2025.08.12	11:00:00	23635.50	23636.25	23608.50	23623.50	7705	8588	25
2025.08.12	11:30:00	23623.25	23642.50	23611.25	23640.75	8061	8914	25
2025.08.12	12:00:00	23641.00	23679.00	23638.75	23667.00	12590	14181	25
2025.08.12	12:30:00	23664.00	23822.25	23661.25	23777.00	71220	80271	0
2025.08.12	13:00:00	23776.00	23784.25	23722.50	23732.75	41766	46025	0
2025.08.12	13:30:00	23732.75	23808.50	23650.00	23652.00	191297	211556	0
2025.08.12	14:00:00	23652.00	23762.00	23622.00	23754.75	133960	147696	0
2025.08.12	14:30:00	23754.75	23781.75	23732.50	23777.00	68232	75096	0
2025.08.12	15:00:00	23777.00	23861.00	23773.00	23836.00	75756	85861	0
2025.08.12	15:30:00	23836.00	23877.75	23821.25	23867.50	46152	51273	0
2025.08.12	16:00:00	23867.25	23883.00	23846.50	23879.25	30570	34955	25
2025.08.12	16:30:00	23879.25	23911.50	23874.00	23900.00	30850	35398	25
2025.08.12	17:00:00	23900.25	23906.50	23886.00	23888.75	23264	26378	0
2025.08.12	17:30:00	23888.75	23917.00	23885.25	23914.00	22459	25798	25
2025.08.12	18:00:00	23914.25	23932.50	23908.00	23919.75	23611	27850	25
2025.08.12	18:30:00	23920.00	23922.25	23905.25	23906.75	19251	22043	25
2025.08.12	19:00:00	23906.75	23925.75	23901.00	23923.25	22332	26147	0
2025.08.12	19:30:00	23923.25	23949.25	23909.00	23934.00	48969	58136	0
2025.08.12	20:00:00	23934.25	23940.25	23924.25	23937.75	13886	16183	0
2025.08.12	20:30:00	23937.75	23952.50	23934.00	23948.75	6157	7293	0
2025.08.12	22:00:00	23947.25	23947.25	23925.50	23930.25	6671	7976	25
2025.08.12	22:30:00	23931.00	23931.50	23926.25	23930.25	2211	2492	25
2025.08.12	23:00:00	23930.25	23943.25	23928.00	23941.25	4037	4538	25
2025.08.12	23:30:00	23941.75	23966.50	23934.50	23960.50	9948	11485	25
2025.08.13	00:00:00	23959.75	23967.75	23941.75	23946.50	10535	11707	25
2025.08.13	00:30:00	23946.75	23961.00	23936.25	23940.75	7715	8631	25
2025.08.13	01:00:00	23941.50	23948.25	23932.75	23935.50	4512	5088	25
2025.08.13	01:30:00	23935.75	23938.00	23925.50	23928.75	5229	5909	25
2025.08.13	02:00:00	23928.25	23946.75	23921.00	23946.50	6278	7156	25
2025.08.13	02:30:00	23946.50	23951.75	23939.25	23946.00	4213	4744	25
2025.08.13	03:00:00	23945.75	23958.00	23942.50	23942.75	4325	4899	25
2025.08.13	03:30:00	23943.00	23947.50	23940.25	23942.25	2317	2534	25
2025.08.13	04:00:00	23942.25	23957.75	23942.25	23955.25	2795	3160	25
2025.08.13	04:30:00	23955.00	23962.50	23954.25	23956.00	2919	3396	25
2025.08.13	05:00:00	23956.00	23960.00	23948.00	23954.75	2503	2801	25
2025.08.13	05:30:00	23954.50	23957.25	23942.75	23945.25	1969	2305	25
2025.08.13	06:00:00	23945.50	23952.50	23933.25	23946.00	4873	5441	25
2025.08.13	06:30:00	23945.75	23973.25	23945.75	23959.25	5620	6408	25
2025.08.13	07:00:00	23959.25	23988.00	23957.75	23986.75	8931	10030	25
2025.08.13	07:30:00	23986.75	23990.75	23974.00	23989.25	5365	5958	25
