Market position,Entry time,Exit time,Entry price,stop,Exit price,outcome,Profit
Long,2025.08.15 06:30:00,2025.08.15 07:30:00,23949.25,23933.75,23933.75,loss,-31.0
Long,2025.08.15 10:00:00,2025.08.15 11:00:00,23894.0,23878.0,23919.25,win,50.5
Long,2025.08.15 16:30:00,2025.08.18 00:00:00,23810.0,23763.75,23860.5,win,101.0
Long,2025.08.15 17:30:00,2025.08.15 19:00:00,23824.5,23786.0,23786.0,loss,-77.0
Long,2025.08.17 23:30:00,2025.08.18 01:00:00,23850.5,23840.0,23871.25,win,41.5
Long,2025.08.18 01:00:00,2025.08.18 01:30:00,23865.75,23853.75,23881.5,win,31.5
Long,2025.08.18 14:00:00,2025.08.18 14:30:00,23818.25,23735.0,23735.0,loss,-166.5
Long,2025.08.18 19:30:00,2025.08.18 20:00:00,23812.25,23784.0,23784.0,loss,-56.5
Long,2025.08.18 22:00:00,2025.08.18 22:30:00,23795.75,23785.0,23820.5,win,49.5
Long,2025.08.19 03:00:00,2025.08.19 03:30:00,23783.0,23761.75,23761.75,loss,-42.5
Long,2025.08.19 04:30:00,2025.08.19 05:00:00,23755.25,23738.75,23738.75,loss,-33.0
Long,2025.08.19 06:00:00,2025.08.19 07:30:00,23748.25,23730.75,23769.5,win,42.5
Long,2025.08.19 07:30:00,2025.08.19 08:00:00,23770.75,23755.5,23755.5,loss,-30.5
Long,2025.08.19 19:30:00,2025.08.19 23:00:00,23463.0,23425.25,23425.25,loss,-75.5
